company,RIC,ISIN,GICS_sector,TRBC_sector,country,base_ric,industry
Union Fenosa Ord Shs,UNF.MC^I09,ES0181380710,Utilities/Utilities/Electric Utilities/Electric Utilities,Electric Utilities (NEC),Spain,UNF.MC^I09,Utilities
Soliton Ord Shs,SOLY.OQ^L21,US8342511008,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Laser Equipment,United States,SOLY.OQ^L21,Health Care
Aleo Solar Ord Shs,AS1Gn.DE^C15,DE000A0JM634,Utilities/Utilities/Electric Utilities/Electric Utilities,Electric Utilities (NEC),Germany,AS1Gn.DE^C15,Utilities
Trikon Technolog Ordinary Shares,TRKN.OQ^L05,US8961874083,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductor Materials & Equipment,Semiconductor Equipment & Testing (NEC),United Kingdom,TRKN.OQ^L05,Information Technology
Denison Mines Corp,DML.TO,CA2483561072,"Energy/Energy/Oil, Gas & Consumable Fuels/Coal & Consumable Fuels",Uranium Mining,Canada,DML.TO,Energy
Bank Sankt-Peterburg PAO,BSPB.MM,RU0009100945,Financials/Banks/Banks/Diversified Banks,Banks (NEC),Russia,BSPB.MM,Financials
ContextLogic Holdings Inc,LOGC.PK,US21078F1093,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Broadline Retail/Broadline Retail,Shell Companies,United States,LOGC.PK,Consumer Discretionary
AMA Group Ltd,AMA.AX,AU000000AMA8,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Diversified Support Services,Consumer Repair Services,Australia,AMA.AX,Industrials
Raketech Group Holding PLC,RAKE.ST,MT0001390104,"Consumer Discretionary/Consumer Services/Hotels, Restaurants & Leisure/Casinos & Gaming",Internet Gaming,Malta,RAKE.ST,Consumer Discretionary
REV Group Inc,REVG.N,US7495271071,Industrials/Capital Goods/Machinery/Construction Machinery & Heavy Transportation Equipment,Heavy Machinery & Vehicles (NEC),United States,REVG.N,Industrials
Sweetgreen Inc,SG.N,US87043Q1085,"Consumer Discretionary/Consumer Services/Hotels, Restaurants & Leisure/Restaurants",Quick Service Restaurants,United States,SG.N,Consumer Discretionary
BGSF Inc,BGSF.N,US05601C1053,Industrials/Commercial & Professional Services/Professional Services/Human Resource & Employment Services,Outsourcing & Staffing Services,United States,BGSF.N,Industrials
Marcopolo SA,POMO4.SA,BRPOMOACNPR7,Industrials/Capital Goods/Machinery/Construction Machinery & Heavy Transportation Equipment,Automotive Body Parts,Brazil,POMO4.SA,Industrials
Banco Davivienda SA,DVI_p.CN,COB51PA00076,Financials/Banks/Banks/Diversified Banks,Corporate Banks,Colombia,DVI_p.CN,Financials
PGG Wrightson Ltd,PGW.NZ,NZREIE0001S4,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Agricultural Products & Services",Fishing & Farming (NEC),New Zealand,PGW.NZ,Consumer Staples
ALLETE Inc,ALE.N,US0185223007,Utilities/Utilities/Electric Utilities/Electric Utilities,Electric Utilities (NEC),United States,ALE.N,Utilities
Integra Lifesciences Holdings Corp,IART.OQ,US4579852082,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,IART.OQ,Health Care
ironSource Ord Shs Class A,IS^K22,IL0011763799,Information Technology/Software & Services/Software/Systems Software,Software (NEC),Israel,IS^K22,Information Technology
Corium International Ord Shs,CORI.OQ^K18,US21887L1070,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),United States,CORI.OQ^K18,Health Care
Aegean Marine Petroleum Network Ord Shs,ANWWQ.PK^D19,MHY0017S1028,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Refining & Marketing",Oil & Gas Refining and Marketing (NEC),Greece,ANWWQ.PK^D19,Energy
Capital Power Corp,CPX.TO,CA14042M1023,Utilities/Utilities/Independent Power and Renewable Electricity Producers/Independent Power Producers & Energy Traders,Independent Power Producers (NEC),Canada,CPX.TO,Utilities
Moltiply Group SpA,MOL.MI,IT0004195308,Financials/Financial Services/Consumer Finance/Consumer Finance,Consumer Lending (NEC),Italy,MOL.MI,Financials
Telkom Indonesia (Persero) Tbk PT,TLKM.JK,ID1000129000,Communication Services/Telecommunication Services/Diversified Telecommunication Services/Integrated Telecommunication Services,Integrated Telecommunications Services (NEC),Indonesia,TLKM.JK,Communication Services
TECO Electric Machinery Co Ltd,1504.TW,TW0001504009,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Heavy Electrical Equipment (NEC),Taiwan,1504.TW,Industrials
