company,RIC,ISIN,GICS_sector,TRBC_sector,country,base_ric,industry
Cattles Ord Shs,CTT.L^C11,GB0001803666,Financials/Financial Services/Consumer Finance/Consumer Finance,Consumer Lending (NEC),United Kingdom,CTT.L^C11,Financials
Contango Oil and Gas Ord Shs,MCF.A^L21,US21075N2045,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Exploration & Production",Oil & Gas Exploration and Production (NEC),United States,MCF.A^L21,Energy
Kiri Industries Ltd,KIRI.NS,INE415I01015,Materials/Materials/Chemicals/Specialty Chemicals,Specialty Chemicals (NEC),India,KIRI.NS,Materials
Glass House Brands Inc,GLASau.NLB,CA3771304068,Consumer Staples/Household & Personal Products/Personal Care Products/Personal Care Products,Cannabis Product Retailers,United States,GLASau.NLB,Consumer Staples
Riot Platforms Inc,RIOT.OQ,US7672921050,Information Technology/Software & Services/Software/Application Software,Cryptocurrency Mining,United States,RIOT.OQ,Information Technology
MortgageIT Holdings Ord Shs,MHL.N^A07,US61915Q1085,Real Estate/Equity Real Estate Investment Trusts (REITs)/Residential REITs/Multi-Family Residential REITs,Residential REITs,United States,MHL.N^A07,Real Estate
Windstream Holdings Ord Shs,WINMQ.PK^I20,US97382A3095,Communication Services/Telecommunication Services/Diversified Telecommunication Services/Integrated Telecommunication Services,Integrated Telecommunications Services (NEC),United States,WINMQ.PK^I20,Communication Services
Santa Fe Gold Ord Shs,SFEG.PK^L20,US80201E1082,Materials/Materials/Metals & Mining/Diversified Metals & Mining,Diversified Mining,United States,SFEG.PK^L20,Materials
Kokusai Electric Corp,6525.T,JP3293330001,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductor Materials & Equipment,Semiconductor Machinery Manufacturing,Japan,6525.T,Information Technology
Algonquin Power & Utilities Corp,AQN.TO,CA0158571053,Utilities/Utilities/Multi-Utilities/Multi-Utilities,Multiline Utilities,Canada,AQN.TO,Utilities
Coromandel International Ltd,CORF.NS,INE169A01031,Materials/Materials/Chemicals/Fertilizers & Agricultural Chemicals,Fertilizers,India,CORF.NS,Materials
"MOBIX LABS, INC.",MOBX.OQ,US60743G1004,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductors,Semiconductors (NEC),United States,MOBX.OQ,Information Technology
Spirit Realty Capital REIT Ord Shs,SRC.N^A24,US84860W3007,Real Estate/Equity Real Estate Investment Trusts (REITs)/Retail REITs/Retail REITs,Commercial REITs (NEC),United States,SRC.N^A24,Real Estate
NTT Com Security Ord Shs,AAGGn.F^F16,DE0005155030,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),Germany,AAGGn.F^F16,Information Technology
Commonwealth Bank of Australia,CBA.AX,AU000000CBA7,Financials/Banks/Banks/Diversified Banks,Banks (NEC),Australia,CBA.AX,Financials
ZEAL Network SE,TIMAn.DE,DE000ZEAL241,"Consumer Discretionary/Consumer Services/Hotels, Restaurants & Leisure/Casinos & Gaming",Lottery Operators,Germany,TIMAn.DE,Consumer Discretionary
GN Store Nord A/S,GN.CO,DK0010272632,Consumer Discretionary/Consumer Durables & Apparel/Household Durables/Consumer Electronics,Household Electronics (NEC),Denmark,GN.CO,Consumer Discretionary
Loomis AB,LOOMIS.ST,SE0014504817,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Security & Alarm Services,Security Services,Sweden,LOOMIS.ST,Industrials
Bolsa Mexicana de Valores SAB de CV,BOLSAA.MX,MX01BM1B0000,Financials/Financial Services/Capital Markets/Financial Exchanges & Data,Securities & Commodity Exchanges,Mexico,BOLSAA.MX,Financials
Vestis Corp,VSTS.N,US29430C1027,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Diversified Support Services,Personal Services (NEC),United States,VSTS.N,Industrials
MidCap Financial Investment Corp,MFIC.OQ,US03761U5020,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Investment Management & Fund Operators (NEC),United States,MFIC.OQ,Financials
Fortuna Mining Corp,FVI.TO,CA3499421020,Materials/Materials/Metals & Mining/Gold,Gold Mining,Canada,FVI.TO,Materials
Canaccord Genuity Group Inc,CF.TO,CA1348011091,Financials/Financial Services/Capital Markets/Investment Banking & Brokerage,Investment Banking & Brokerage Services (NEC),Canada,CF.TO,Financials
Smiths News PLC,SNWS.L,GB00B17WCR61,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Distributors/Distributors,"Books, Newspapers & Magazines Wholesale",United Kingdom,SNWS.L,Consumer Discretionary
Wirecard AG,WDIG.H,DE0007472060,Financials/Financial Services/Financial Services/Transaction & Payment Processing Services,Transaction & Payment Services,Germany,WDIG.H,Financials
Dole PLC,DOLE.N,IE0003LFZ4U7,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Fishing & Farming (NEC),Ireland,DOLE.N,Consumer Staples
Goldcorp Ord Shs,G.TO^D19,CA3809564097,Materials/Materials/Metals & Mining/Diversified Metals & Mining,Diversified Mining,United States,G.TO^D19,Materials
Park Sterling Ord Shs,PSTB.OQ^L17,US70086Y1055,Financials/Banks/Banks/Diversified Banks,Banks (NEC),United States,PSTB.OQ^L17,Financials
Aspect Medical Systems Ord Shs,ASPM.OQ^K09,US0452351085,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Medical Monitoring Systems,United States,ASPM.OQ^K09,Health Care
Sandstorm Gold Ltd,SSL.TO,CA80013R2063,Materials/Materials/Metals & Mining/Gold,Gold (NEC),Canada,SSL.TO,Materials
Mitsu Chem Plast Ltd,MITU.BO,INE317V01016,Materials/Materials/Chemicals/Commodity Chemicals,Plastics,India,MITU.BO,Materials
Marex Group PLC,MRX.OQ,GB00BMT7GT62,Financials/Financial Services/Capital Markets/Investment Banking & Brokerage,Brokerage Services,United Kingdom,MRX.OQ,Financials
Focus Financial Partners Ord Shs Class A,FOCS.OQ^I23,US34417P1003,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Investment Management & Fund Operators (NEC),United States,FOCS.OQ^I23,Financials
1Life Healthcare Ord Shs,ONEM.OQ^B23,US68269G1076,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Facilities,"Hospitals, Clinics & Primary Care Services",United States,ONEM.OQ^B23,Health Care
Epcos AG Ord Shs,EPCGn.DE^J09,DE0005128003,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Manufacturing Services",Electronic Components,Germany,EPCGn.DE^J09,Information Technology
GTSI Ord Shs,GTSI.OQ^F12,US36238K1034,"Information Technology/Technology Hardware & Equipment/Technology Hardware, Storage & Peripherals/Technology Hardware, Storage & Peripherals",Computer Hardware (NEC),United States,GTSI.OQ^F12,Information Technology
ACS Actividades de Construccion y Servicios SA,ACS.MC,ES0167050915,Industrials/Capital Goods/Construction & Engineering/Construction & Engineering,Construction & Engineering (NEC),Spain,ACS.MC,Industrials
Atlas Copco AB,ATCOa.ST,SE0017486889,Industrials/Capital Goods/Machinery/Industrial Machinery & Supplies & Components,Air & Gas Compressors,Sweden,ATCOa.ST,Industrials
Viking Holdings Ltd,VIK.N,BMG93A5A1010,"Consumer Discretionary/Consumer Services/Hotels, Restaurants & Leisure/Hotels, Resorts & Cruise Lines",Guided Tour Operators,United States,VIK.N,Consumer Discretionary
DHI Group Inc,DHX.N,US23331S1006,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Employment Services (NEC),United States,DHX.N,Communication Services
Dominari Holdings Inc,DOMH.OQ,US0088753043,Financials/Financial Services/Capital Markets/Investment Banking & Brokerage,Investment Banking & Brokerage Services (NEC),United States,DOMH.OQ,Financials
Premier Farnell Ord Shs,PFL.L^J16,GB0003318416,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Computer & Electronics Retail,Computer & Electronics Retailers (NEC),United Kingdom,PFL.L^J16,Consumer Discretionary
SP Plus Ord Shs,SP.OQ^E24,US78469C1036,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Environmental & Facilities Services,Parking Lot Operators,United States,SP.OQ^E24,Industrials
Friendly Ice Cre Ord Shs,FRN.A^I07,US3584971051,"Consumer Discretionary/Consumer Services/Hotels, Restaurants & Leisure/Restaurants",Restaurants & Bars (NEC),United States,FRN.A^I07,Consumer Discretionary
Indian Overseas Bank,IOBK.NS,INE565A01014,Financials/Banks/Banks/Diversified Banks,Banks (NEC),India,IOBK.NS,Financials
Calfrac Well Services Ltd,CFW.TO,CA1295844056,Energy/Energy/Energy Equipment & Services/Oil & Gas Equipment & Services,Oil Related Services,Canada,CFW.TO,Energy
Commercial International Bank Egypt CIB,COMI.CA,EGS60121C018,Financials/Banks/Banks/Diversified Banks,Corporate Banks,Egypt,COMI.CA,Financials
Applied Digital Corp,APLD.OQ,US0381692070,Information Technology/Software & Services/IT Services/Internet Services & Infrastructure,Cryptocurrency Mining,United States,APLD.OQ,Information Technology
DXP Enterprises Inc,DXPE.OQ,US2333774071,Industrials/Capital Goods/Trading Companies & Distributors/Trading Companies & Distributors,Industrial Machinery & Equipment Wholesale,United States,DXPE.OQ,Industrials
GCT Semiconductor Holding Inc,GCTS.N,US36170N1072,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductors,Semiconductors (NEC),United States,GCTS.N,Information Technology
State Bank Financial Ord Shs,STBZ.OQ^A19,US8561901039,Financials/Banks/Banks/Diversified Banks,Banks (NEC),United States,STBZ.OQ^A19,Financials
Silicon Graphics Ord Shs,SGID.PK^J06,US8270563005,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Apparel Retail,Copyright Management,United States,SGID.PK^J06,Consumer Discretionary
Koninklijke Ahold Delhaize NV,AD.AS,NL0011794037,Consumer Staples/Consumer Staples Distribution & Retail/Consumer Staples Distribution & Retail/Food Retail,Food Retail & Distribution (NEC),Netherlands,AD.AS,Consumer Staples
Valmet Oyj,VALMT.HE,FI4000074984,Industrials/Capital Goods/Machinery/Industrial Machinery & Supplies & Components,Industrial Machinery,Finland,VALMT.HE,Industrials
Enservco Corp,ENSV.PK,US29358Y2019,Energy/Energy/Energy Equipment & Services/Oil & Gas Equipment & Services,Oil Related Services,United States,ENSV.PK,Energy
Metrofile Holdings Ltd,MFLJ.J,ZAE000061727,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),South Africa,MFLJ.J,Information Technology
WaferGen Bio Systems Ord Shs,WGBS.O^C17,US93041P5061,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Medical Diagnostic & Testing Equipment,United States,WGBS.O^C17,Health Care
Natl Rural Utils Common Stock,NRU.N^L01,US6374322047,Financials/Financial Services/Financial Services/Specialized Finance,Consumer Lending (NEC),United States,NRU.N^L01,Financials
Internationella Engelska Skolan I Sverige Holdings II Ord Shs,ENG.ST^L20,SE0008585525,Consumer Discretionary/Consumer Services/Diversified Consumer Services/Education Services,Miscellaneous Educational Service Providers,Sweden,ENG.ST^L20,Consumer Discretionary
Lanxess AG,LXSG.DE,DE0005470405,Materials/Materials/Chemicals/Diversified Chemicals,Diversified Chemicals,Germany,LXSG.DE,Materials
F45 Training Holdings Inc,FXLV.PK,US30322L1017,"Consumer Discretionary/Consumer Services/Hotels, Restaurants & Leisure/Leisure Facilities","Gyms, Fitness and Spa Centers",United States,FXLV.PK,Consumer Discretionary
Nitro Games Oyj,NITRO.ST,FI4000242961,Communication Services/Media & Entertainment/Entertainment/Interactive Home Entertainment,Mobile Application Software,Finland,NITRO.ST,Communication Services
GasLog Partners LP,GLOP_pa.N,MHY2687W1167,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Storage & Transportation",LNG Transportation & Storage,Greece,GLOP_pa.N,Energy
CASI Pharmaceuticals Inc,CASI.OQ,KYG1933S1012,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Pharmaceuticals (NEC),China (Mainland),CASI.OQ,Health Care
MoneyLion Ord Shs Class A,ML.N^D25,US60938K3041,Financials/Financial Services/Consumer Finance/Consumer Finance,Financial Technology (Fintech) (NEC),United States,ML.N^D25,Financials
Tarantella Common Stock,TTLA.OB^H05,US8760903091,Information Technology/Software & Services/Software/Application Software,Enterprise Software,United States,TTLA.OB^H05,Information Technology
Folli Follie S.A. Ord Shs,HDFr.AT^L23,GRS294003009,"Consumer Discretionary/Consumer Durables & Apparel/Textiles, Apparel & Luxury Goods/Apparel, Accessories & Luxury Goods",Apparel & Accessories (NEC),Greece,HDFr.AT^L23,Consumer Discretionary
Sunteck Realty Ltd,SUNT.NS,INE805D01034,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Diversified Real Estate Activities,"Real Estate Rental, Development & Operations (NEC)",India,SUNT.NS,Real Estate
Amgen Inc,AMGN.OQ,US0311621009,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Pharmaceuticals (NEC),United States,AMGN.OQ,Health Care
Stoneridge Inc,SRI.N,US86183P1021,Consumer Discretionary/Automobiles & Components/Automobile Components/Automotive Parts & Equipment,"Auto, Truck & Motorcycle Parts (NEC)",United States,SRI.N,Consumer Discretionary
Goldenport Holdings Ord Shs,GPRT.L^E16,MHY274991394,Industrials/Transportation/Marine Transportation/Marine Transportation,Deep Sea Freight,Greece,GPRT.L^E16,Industrials
LJ International Ord Shs,JADE.OQ^G13,VGG553121051,"Consumer Discretionary/Consumer Durables & Apparel/Textiles, Apparel & Luxury Goods/Apparel, Accessories & Luxury Goods",Jewelry,Hong Kong,JADE.OQ^G13,Consumer Discretionary
Titan Cement Company Ord Shs,TTNr.AT^I19,GRS074083007,Materials/Materials/Construction Materials/Construction Materials,Cement & Concrete Manufacturing,Greece,TTNr.AT^I19,Materials
Bank BPH Ord Shs,BPHP.WA^L16,PLBPH0000019,Financials/Banks/Banks/Diversified Banks,Banks (NEC),Poland,BPHP.WA^L16,Financials
Borders Group Ord Shs,BGPIQ.PK^A12,US0997091071,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Other Specialty Retail,Book & Magazine Retailers,United States,BGPIQ.PK^A12,Consumer Discretionary
Fairfax Financial Holdings Ltd,FFH.TO,CA3039011026,Financials/Insurance/Insurance/Property & Casualty Insurance,Property & Casualty Insurance (NEC),Canada,FFH.TO,Financials
Turkiye Is Bankasi AS,ISCTR.IS,TRAISCTR91N2,Financials/Banks/Banks/Diversified Banks,Banks (NEC),Turkey,ISCTR.IS,Financials
Cromwell Property Group,CMW.AX,AU000000CMW8,Real Estate/Equity Real Estate Investment Trusts (REITs)/Office REITs/Office REITs,Office Real Estate Rental & Development,Australia,CMW.AX,Real Estate
LivaNova PLC,LIVN.OQ,GB00BYMT0J19,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United Kingdom,LIVN.OQ,Health Care
Allogene Therapeutics Inc,ALLO.OQ,US0197701065,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,ALLO.OQ,Health Care
Fenner Ord Shs,FENR.L^F18,GB0003345054,Consumer Discretionary/Automobiles & Components/Automobile Components/Tires & Rubber,Tires & Rubber Products (NEC),United Kingdom,FENR.L^F18,Consumer Discretionary
OneBeacon Insurance Group Ord Shs Class A,OB^I17,BMG677421098,Financials/Insurance/Insurance/Property & Casualty Insurance,Property & Casualty Insurance (NEC),United States,OB^I17,Financials
infoGROUP Ord Shs,IUSA.OQ^G10,US45670G1085,Communication Services/Media & Entertainment/Media/Advertising,Advertising & Marketing (NEC),United States,IUSA.OQ^G10,Communication Services
BSR Real Estate Investment Trust,HOMu.TO,CA05585D1033,Real Estate/Equity Real Estate Investment Trusts (REITs)/Residential REITs/Multi-Family Residential REITs,Residential REITs,United States,HOMu.TO,Real Estate
FICA Empreendimentos Imobiliarios SA,FIEI3.SA,BRFIEIACNOR2,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Development,"Real Estate Rental, Development & Operations (NEC)",Brazil,FIEI3.SA,Real Estate
DXC Technology Co,DXC.N,US23355L1061,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),United States,DXC.N,Information Technology
Kingsway Financial Services Inc,KFS.N,US4969042021,Financials/Insurance/Insurance/Property & Casualty Insurance,Property & Casualty Insurance (NEC),United States,KFS.N,Financials
Consolidated Water Co Ltd,CWCO.OQ,KYG237731073,Utilities/Utilities/Water Utilities/Water Utilities,Water Supply & Irrigation Systems,Cayman Islands,CWCO.OQ,Utilities
Polestar Automotive Holding UK PLC,PSNY.OQ,US7311052010,Consumer Discretionary/Automobiles & Components/Automobiles/Automobile Manufacturers,Electric (Alternative) Vehicles,Sweden,PSNY.OQ,Consumer Discretionary
KAB Distribution Ord Shs,KAB.TO^I09,CA4823781063,,Direct Marketing,Canada,KAB.TO^I09,
VEF SDR,VEFLsdb.ST^G21,SE0007192018,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Investment Management & Fund Operators (NEC),Bermuda,VEFLsdb.ST^G21,Financials
Hindustan Petroleum Corp Ltd,HPCL.NS,INE094A01015,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Refining & Marketing",Oil & Gas Refining and Marketing (NEC),India,HPCL.NS,Energy
Integra Resources Corp,ITR.V,CA45826T5098,Materials/Materials/Metals & Mining/Gold,Diversified Mining,Canada,ITR.V,Materials
NetApp Inc,NTAP.OQ,US64110D1046,"Information Technology/Technology Hardware & Equipment/Technology Hardware, Storage & Peripherals/Technology Hardware, Storage & Peripherals",Storage Devices,United States,NTAP.OQ,Information Technology
Crestwood Equity Partners Units,CEQP.N^K23,US2263442087,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Storage & Transportation",Oil & Gas Transportation Services (NEC),United States,CEQP.N^K23,Energy
New Senior Investment Group Ord Shs,SNR.N^I21,US6486911034,Real Estate/Equity Real Estate Investment Trusts (REITs)/Residential REITs/Multi-Family Residential REITs,Residential REITs,United States,SNR.N^I21,Real Estate
Molecular Devic Ord Shs,MDCC.OQ^D07,US60851C1071,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,MDCC.OQ^D07,Health Care
Ocean Yield Ord Shs,OCY.OL^L21,NO0010657448,Financials/Financial Services/Financial Services/Multi-Sector Holdings,Investment Holding Companies (NEC),Norway,OCY.OL^L21,Financials
Centerra Gold Inc,CG.TO,CA1520061021,Materials/Materials/Metals & Mining/Gold,Gold Mining,Canada,CG.TO,Materials
PTC India Ltd,PTCI.NS,INE877F01012,Utilities/Utilities/Independent Power and Renewable Electricity Producers/Independent Power Producers & Energy Traders,Independent Power Producers (NEC),India,PTCI.NS,Utilities
Harvard Apparatus Regenerative Technology Inc,HRGN.PK,US09074M2026,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Medical Devices,United States,HRGN.PK,Health Care
Arendals Fossekompani ASA,AFK.OL,NO0003572802,Industrials/Capital Goods/Industrial Conglomerates/Industrial Conglomerates,Hydroelectric & Tidal Utilities,Norway,AFK.OL,Industrials
Sphere Entertainment Co,SPHR.N,US55826T1025,Communication Services/Media & Entertainment/Entertainment/Movies & Entertainment,Entertainment Production (NEC),United States,SPHR.N,Communication Services
Eletropaulo Metropolitana Eletricidade de Sao Paulo Ord Shs,ELPL3.SA^K19,BRELPLACNOR9,Utilities/Utilities/Electric Utilities/Electric Utilities,Electric Utilities (NEC),Brazil,ELPL3.SA^K19,Utilities
JJB Sports Ord Shs,JJB.L^K12,GB00B646JG43,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Other Specialty Retail,Sports & Outdoors Retailers,United Kingdom,JJB.L^K12,Consumer Discretionary
Nanotech Security Ord Shs,NTS.V^J21,CA63009M1005,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Life Sciences Tools & Services/Life Sciences Tools & Services",Scientific & Precision Equipment,Canada,NTS.V^J21,Health Care
Moskovskaya Birzha MMVB-RTS PAO,MOEX.MM,RU000A0JR4A1,Financials/Financial Services/Capital Markets/Financial Exchanges & Data,Financial & Commodity Market Operators & Service Providers (NEC),Russia,MOEX.MM,Financials
Bossard Holding AG,BOS.S,CH0238627142,Industrials/Capital Goods/Trading Companies & Distributors/Trading Companies & Distributors,Industrial Machinery & Equipment (NEC),Switzerland,BOS.S,Industrials
EMIS Group Ord Shs,EMISG.L^J23,GB00B61D1Y04,Health Care/Health Care Equipment & Services/Health Care Technology/Health Care Technology,Medical Software & Technology Services,United Kingdom,EMISG.L^J23,Health Care
Jkx Oil And Gas Ord Shs,JKX.L^A22,GB0004697420,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Exploration & Production",Oil & Gas Exploration and Production (NEC),United Kingdom,JKX.L^A22,Energy
Modem Media Common Stock,MMPT.OQ^J04,US6075331065,Communication Services/Media & Entertainment/Media/Advertising,Advertising & Marketing (NEC),United States,MMPT.OQ^J04,Communication Services
Digital Cinema Destinations Ord Shs Class A,DCIN.OQ^H14,US25383B1098,Communication Services/Media & Entertainment/Entertainment/Movies & Entertainment,Movie Theaters & Movie Products,United States,DCIN.OQ^H14,Communication Services
Qualtek Svcs Ord Shs,QTEKQ.PK^G23,US74760R3030,Industrials/Capital Goods/Construction & Engineering/Construction & Engineering,Power & Communications Network Construction,United States,QTEKQ.PK^G23,Industrials
Isetan Mitsukoshi Holdings Ltd,3099.T,JP3894900004,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Broadline Retail/Broadline Retail,General Department Stores,Japan,3099.T,Consumer Discretionary
HICL Infrastructure PLC,HICL.L,GB00BJLP1Y77,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Closed End Funds,United Kingdom,HICL.L,Financials
Jinhui Shipping and Transportation Ltd,JINJ.OL,BMG5137R1088,Industrials/Transportation/Marine Transportation/Marine Transportation,Marine Freight & Logistics (NEC),Hong Kong,JINJ.OL,Industrials
Neo Material Technologies Ord Shs,NEM.TO^F12,CA64045Y1088,Materials/Materials/Chemicals/Commodity Chemicals,Commodity Chemicals (NEC),Canada,NEM.TO^F12,Materials
PureCircle Ord Shs,PURE.L^G20,BMG7300G1096,Materials/Materials/Chemicals/Specialty Chemicals,Food Ingredients,Malaysia,PURE.L^G20,Materials
Third Wave Tech Ord Shs,TWTI.OQ^H08,US88428W1080,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,TWTI.OQ^H08,Health Care
China New Borun ADR Rep 1 Ord Shs,BORNY.PK^K22,US16890T1051,"Consumer Staples/Food, Beverage & Tobacco/Beverages/Distillers & Vintners",Distillers & Wineries (NEC),China (Mainland),BORNY.PK^K22,Consumer Staples
NEC Corp,6701.T,JP3733000008,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),Japan,6701.T,Information Technology
Trend Micro Inc,4704.T,JP3637300009,Information Technology/Software & Services/Software/Systems Software,Software (NEC),Japan,4704.T,Information Technology
Palfinger AG,PALF.VI,AT0000758305,Industrials/Capital Goods/Machinery/Construction Machinery & Heavy Transportation Equipment,Heavy Machinery & Vehicles (NEC),Austria,PALF.VI,Industrials
Cybin Inc,CYBN.NLB,CA23256X4075,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Bio Therapeutic Drugs,Canada,CYBN.NLB,Health Care
Interwoven Ord Shs,IWOV.OQ^C09,US46114T5083,Information Technology/Software & Services/Software/Application Software,Software (NEC),United States,IWOV.OQ^C09,Information Technology
Dover Motorsports Ord Shs,DVD.N^L21,US2601741075,"Consumer Discretionary/Consumer Services/Hotels, Restaurants & Leisure/Leisure Facilities",Leisure & Recreation (NEC),United States,DVD.N^L21,Consumer Discretionary
Timminco Ord Shs,TIM.TO^B12,CA8874041012,Materials/Materials/Metals & Mining/Diversified Metals & Mining,Nonferrous Metal Processing,Canada,TIM.TO^B12,Materials
Grupo Mateus SA,GMAT3.SA,BRGMATACNOR7,Consumer Staples/Consumer Staples Distribution & Retail/Consumer Staples Distribution & Retail/Consumer Staples Merchandise Retail,Food Retail & Distribution (NEC),Brazil,GMAT3.SA,Consumer Staples
Dexus,DXS.AX,AU000000DXS1,Real Estate/Equity Real Estate Investment Trusts (REITs)/Office REITs/Office REITs,Office REITs,Australia,DXS.AX,Real Estate
Modern Times Group MTG AB,MTGb.ST,SE0018012494,Communication Services/Media & Entertainment/Entertainment/Interactive Home Entertainment,Mobile Application Software,Sweden,MTGb.ST,Communication Services
Exagen Inc,XGN.OQ,US30068X1037,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Healthcare Facilities & Services (NEC),United States,XGN.OQ,Health Care
Cetip SA Mercados Organizados,CTIP3.SA^C17,,Financials/Financial Services/Capital Markets/Financial Exchanges & Data,Financial & Commodity Market Operators & Service Providers (NEC),Brazil,CTIP3.SA^C17,Financials
Cabelas Ord Shs,CAB^I17,US1268043015,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Other Specialty Retail,Miscellaneous Specialty Retailers (NEC),United States,CAB^I17,Consumer Discretionary
VIVO Cannabis Ord Shs,VIVO.TO^D23,CA92845J1049,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Medical Farming,Canada,VIVO.TO^D23,Health Care
Banks.com Ord Shs,BNNX.PK^G12,US0664701051,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),United States,BNNX.PK^G12,Information Technology
Welspun Corp Ltd,WGSR.NS,INE191B01025,Materials/Materials/Metals & Mining/Steel,Iron & Steel (NEC),India,WGSR.NS,Materials
Nexpe Participacoes SA - Em Recuperacao Judicial,NEXP3.SA,BRNEXPACNOR0,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Services,Residential Real Estate Services,Brazil,NEXP3.SA,Real Estate
Echelon Resources Ltd,ECH.AX,NZNZOE0010S7,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Exploration & Production",Oil & Gas Exploration and Production (NEC),New Zealand,ECH.AX,Energy
Commercial Metals Co,CMC.N,US2017231034,Materials/Materials/Metals & Mining/Steel,Iron & Steel (NEC),United States,CMC.N,Materials
DH Ord Shs,DH.TO^F17,CA23290R1010,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Equipment & Instruments",Miscellaneous Fintech Infrastructure,Canada,DH.TO^F17,Information Technology
American National Group 1000 Depositary Shares Representing Non Cum Prf Series A,ANG_pa.N^B25,US0256768757,Financials/Insurance/Insurance/Life & Health Insurance,Life & Health Insurance (NEC),United States,ANG_pa.N^B25,Financials
Aventus Group Stapled Units,AVN.AX^C22,AU000000AVN2,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Operating Companies,Retail Real Estate Rental & Development,Australia,AVN.AX^C22,Real Estate
DPAC Techs Ord Shs,DPAC.OQ^H05,US2332691094,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductors,Semiconductors (NEC),United States,DPAC.OQ^H05,Information Technology
Greenrose Holding Company Inc,GNRSQ.PK,US3953921034,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Shell Companies,United States,GNRSQ.PK,Health Care
Bank of America Corp,BAC.N,US0605051046,Financials/Banks/Banks/Diversified Banks,Banks (NEC),United States,BAC.N,Financials
